[2026-09-14T04:48:22.088051+00:00] Victim: Jinkumar Ninama | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 83c2de592cd011bb6613cafbe77dab858ece45ac76b97393eaf2f0dfcfc9b6f1
[2026-09-14T04:59:06.002691+00:00] Victim: Ninama Jinkumar | Wallet: 0x8C1a9Ab9E8ae8C5f6cdDfAD0422FaF50cEB1eE50 | Chain-of-Custody Hash: 84042a8c42fb97e1c0c9dc4e9b6711a49d7ec82d18c336e647c8a87c6ce66716
[2026-09-14T05:12:32.054702+00:00] Victim: Jinkumar Ninama | Wallet: 0x8C1a9Ab9E8ae8C5f6cdDfAD0422FaF50cEB1eE50 | Chain-of-Custody Hash: a1b1202a355e178abb0cba6f5ad288c4cebc06322b892520f58cd8558eaea186
[2026-09-14T05:13:56.357964+00:00] Victim: Jinkumar Ninama | Wallet: 0xD39208BFC786937295a83fB8dCF73c6cE35B2dDB | Chain-of-Custody Hash: bfbd155be16e622f07a1eef4ff8940c1faa4298a87cd4d483c4c23efba399395
[2026-09-14T05:14:12.641845+00:00] Victim: Jinkumar Ninama | Wallet: 0x66345490B8253e824F6a7864e00A7F9a287a20a3 | Chain-of-Custody Hash: 2660d0518bb15c46d41914d47b0797ba6faabe0abd9b9a434d94b1de58615965
[2026-09-14T05:14:27.373054+00:00] Victim: Jinkumar Ninama | Wallet: 0xbdab3195EDECbF98FB89B59AeDE9bd4d2fbD6B16 | Chain-of-Custody Hash: 463717e92af3ce7b5e71cd1c7f55d25de61e2826c33a5a41419068ca03860407
[2026-09-14T05:15:09.845664+00:00] Victim: Jinkumar Ninama | Wallet: 0x49048044D57e1C92A77f79988d21Fa8fAF74E97e | Chain-of-Custody Hash: 59b84745049ca346d9d56f9df225472a7546a6a962399c3af2938297edc28d6c
[2026-09-14T05:15:23.398466+00:00] Victim: Jinkumar Ninama | Wallet: 0x00000000219ab540356cBB839Cbe05303d7705Fa | Chain-of-Custody Hash: 2730443add7679a9035fc8d09c1088b7228d60f2177152868a391a0b0d45d064
[2026-09-14T05:15:44.109083+00:00] Victim: Jinkumar Ninama | Wallet: 0x8C1a9Ab9E8ae8C5f6cdDfAD0422FaF50cEB1eE50 | Chain-of-Custody Hash: 7ab9cf35a0c323875cb786409413936962041264c3d6dac407a8f43401d6c8e5
[2026-09-14T05:27:48.130333+00:00] Victim: Rameshkumar | Wallet: 0x8C1a9Ab9E8ae8C5f6cdDfAD0422FaF50cEB1eE50 | Chain-of-Custody Hash: 2151f404c54771faf5f3a097e1712b413e48d8d12b8b1ad22920e8ec1c5db0d9
[2026-09-14T06:24:31.331250+00:00] Victim: Devansh Gupta | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 384344ce4577552bfe144314572ba852ab19094ba27f110dbfda10a10ab327c8
